Station,FullName,Count
1,Жагина Ольга Михайловна,3332
1,Милованов Вячеслав Анатольевич,3156
1,Никитушкина Светлана Аркадьевна,3403
1,Титов Андрей Михайлович,16136
1,Ульянченко Иван Викторович,14165
2,Воловец Светлана Альбертовна,14079
2,Жуков Владислав Владимирович,2809
2,Локтев Дмитрий Александрович,15091
2,Петров Андрей Юрьевич,3456
2,Рассудов Павел Юрьевич,1046
3,Воскресенский Леонид Игоревич,8010
3,Соловьев Александр Сергеевич,13578
3,Цветкова Сабина Алановна,12795
3,Шевченко Юрий Владимирович,2792
4,Бессонов Владимир Анатольевич,2348
4,Десяткин Сергей Евгеньевич,12598
4,Киселева Мария Александровна,14835
4,Лобах Эрик Наэльевич,1344
4,Митина Дарья Александровна,3589
5,Бабаян Роман Георгиевич,18524
5,Доможирова Ксения Валерьевна,2196
5,Литвинов Алексей Сергеевич,1685
5,Удальцова Анастасия Олеговна,15598
6,Балыхин Михаил Григорьевич,11449
6,Бунимович Евгений Абрамович,16732
6,Крутских Наталья Васильевна,2496
6,Мельников Алексей Владимирович,6921
6,Почернин Алексей Юрьевич,2341
7,Вербенкин Антон Юрьевич,3371
7,Жуков Константин Аркадьевич,2686
7,Звягинцев Петр Семенович,12772
7,Кушаков Павел Николаевич,3132
7,Перфилова Надежда Рафаиловна,12909
8,Беседина Дарья Станиславовна,14911
8,Власов Василий Максимович,2153
8,Копейкина Екатерина Николаевна,2765
8,Кумин Вадим Валентинович,12805
8,Луговская Елена Константиновна,1253
8,Панина Ольга Григорьевна,5774
9,Бакашева Екатерина Сергеевна,2451
9,Галенкина Майя Александровна,2399
9,Голуенко Алиса Владимировна,1928
9,Медведев Андрей Андреевич,15580
9,Степанов Николай Валерьевич,15067
10,Дашкевич Игорь Николаевич,2600
10,Дашков Юрий Владимирович,10786
10,Картавцева Лариса Руслановна,15497
10,Крюков Алексей Сергеевич,3761
10,Суворов Андрей Александрович,3894
11,Зубрилин Николай Григорьевич,15775
11,Лучин Александр Николаевич,2715
11,Нифантьев Евгений Олегович,12167
11,Рыбин Евгений Евгеньевич,4593
12,Ефимов Александр Борисович,13087
12,Ефимов Максим Владимирович,2613
12,Трофимов Павел Владимирович,1463
12,Шапошников Алексей Валерьевич,14227
12,Янковой Никита Леонидович,2358
13,Бускин Игорь Владимирович,11240
13,Зоммер Денис Валерьевич,1573
13,Кравченко Татьяна Алексеевна,3263
13,Лифанцев Илья Борисович,9028
13,Потапов Александр Владимирович,8924
14,Клочков Дмитрий Владимирович,2036
14,Круглов Максим Сергеевич,15430
14,Починок Наталья Борисовна,8939
14,Степкин Евгений Валериевич,2328
14,Федоров Георгий Владимирович,5134
14,Школьников Александр Наумович,3373
15,Востоков Юрий Александрович,2091
15,Кустов Алексей Евгеньевич,2811
15,Метельский Андрей Николаевич,9790
15,Остриков Иван Владимирович,1797
15,Савостьянов Сергей Владимирович,12955
16,Андреева Александра Александровна,1290
16,Андреева Александра Сергеевна,5855
16,Гордиенко Татьяна Владимировна,1466
16,Косова Вера Александровна,1395
16,Молев Антон Ильич,10419
16,Тимонов Михаил Леонидович,12293
17,Максимов Виктор Валерьевич,13505
17,Медведков Андрей Александрович,3580
17,Татулова Анастасия Анатольевна,8318
17,Хованец Илья Николаевич,2645
18,Марусенко Марья Михайловна,4516
18,Медведев Антон Владимирович,4629
18,Табашников Николай Игоревич,8386
18,Шестакова Дарья Андреевна,1912
18,Янчук Елена Юрьевна,15246
19,Волков Кирилл Олегович,2955
19,Ильин Роман Анатольевич,2224
19,Назарова Ирина Александровна,11558
19,Шереметьев Олег Михайлович,12172
20,Букреев Виктор Васильевич,3664
20,Даниловцев Валерий Валерьевич,4137
20,Захаров Дмитрий Александрович,3112
20,Ступин Евгений Викторович,17496
20,Шингаркин Максим Андреевич,8512
21,Бородина Екатерина Сергеевна,3173
21,Зюганов Леонид Андреевич,17233
21,Шах Андрей Викторович,2767
21,Шевченко Вера Леонидовна,5362
22,Бадмаев Владимир Владимирович,1809
22,Егоров Антон Олегович,2475
22,Монастырев Дмитрий Юрьевич,1849
22,Сараев Дмитрий Михайлович,11018
22,Святенко Инна Юрьевна,15190
23,Булатов Антон Эминович,2183
23,Гуличева Елена Геннадьевна,10782
23,Николаева Елена Леонидовна,12119
23,Померанцев Георгий Александрович,2694
24,Абраменко Екатерина Анатольевна,2565
24,Балабуткин Алексей Алексеевич,1095
24,Дягилев Игорь Владимирович,13241
24,Тарасов Антон Александрович,2975
24,Тарасов Павел Михайлович,15603
24,Шереметьев Николай Васильевич,3105
25,Коцюба Владислав Вадимович,887
25,Меркулов Денис Валерьевич,2967
25,Орел Андрей Викторович,10488
25,Полищук Станислав Петрович,642
25,Ракитин Дмитрий Андреевич,1344
25,Смирнов Сергей Михайлович,1945
25,Стебенкова Людмила Васильевна,11600
26,Аксенов Илья Андреевич,2567
26,Анисимова Светлана Геннадьевна,3243
26,Исполатов Андрей Борисович,3709
26,Калинин Владимир Александрович,7087
26,Щитов Кирилл Владимирович,10553
27,Гоголев Виктор Александрович,1959
27,Дрыга Алексей Сергеевич,11044
27,Ерохов Сергей Викторович,1999
27,Коровин Сергей Николаевич,2285
27,Орлов Степан Владимирович,12943
28,Елисеев Сергей Геннадиевич,2377
28,Лазарев Константин Александрович,6992
28,Павлинов Аркадий Борисович,7716
28,Самышина Елена Александровна,11570
29,Артемьев Олег Германович,11560
29,Журавский Сергей Владимирович,2337
29,Сергеев Николай Владимирович,9288
29,Чернышов Борис Александрович,3510
30,Викулин Петр Николаевич,2641
30,Галибин Илья Геннадьевич,1387
30,Жуковский Владислав Сергеевич,8346
30,Русецкая Маргарита Николаевна,9645
30,Цыба Алексей Николаевич,1156
30,Юнеман Роман Александрович,9561
31,Жандарова Юлия Александровна,2349
31,Зверев Сергей Иванович,8774
31,Милешин Андрей Леонидович,2669
31,Никитина Любовь Евгеньевна,13173
31,Шманцарь Юлия Александровна,1755
32,Бернев Владимир Владимирович,2192
32,Залищак Владимир Борисович,2192
32,Куликов Денис Павлович,1665
32,Лихачев Клим Сергеевич,11679
32,Мельникова Ольга Николаевна,12119
32,Падалка Сергей Андреевич,2155
33,Гринченко Владимир Владимирович,3127
33,Гусева Людмила Ивановна,14401
33,Папян Гарегин Гришаевич,1132
33,Присняк Виктор Владимирович,1451
33,Смирнов Левон Леонидович,11284
33,Федоров Павел Сергеевич,2731
34,Гладкова Юлия Генриховна,11314
34,Семенников Александр Григорьевич,11888
34,Филатов Александр Иванович,2071
34,Чирков Максим Андреевич,4157
34,Юриков Антон Вадимович,2106
35,Аграновский Дмитрий Владимирович,4485
35,Васильев Сергей Иванович,10754
35,Малахов Сергей Викторович,2866
35,Метлина Наталия Борисовна,13285
35,Монахов Михаил Игоревич,2204
35,Рязанов Владимир Викторович,3021
36,Курганский Сергей Борисович,10845
36,Папета Артём Владимирович,1084
36,Покатаев Алексей Николаевич,1308
36,Репников Дмитрий Александрович,3618
36,Рябцева Олеся Александровна,2141
36,Шарапова Ольга Викторовна,10871
37,Губенко Николай Николаевич,20621
37,Максимов Юрий Николаевич,6751
37,Романович Александр Леонидович,6076
